"name","description","image","room"
"cold water","cold water from kitchen fridge","cold_water.jpeg","kitchen"
"warm water","warm water poured from kitchen kettle","warm_water.jpeg","kitchen"
"curry","cooked curry","curry.jpeg","kitchen"
"shrimp","shrimp in kitchen freezer","shrimp.jpeg","kitchen"
"cookies","family's favorite cookies","cookies.jpg","pantry"
"jam","kids' favourite strawberry jam ","jam.jpeg","pantry"
"sugar","a jar of sugar","sugar.jpg","pantry"
"salt","a jar of salt","salt.jpeg","pantry"
"yeast","a jar of instant yeast","yeast.jpg","pantry"
"vanilla","a small bottle of vanilla extract","vanilla.jpeg","pantry"
"flour","a packet of wheat flour","flour.jpg","pantry"
"ketchup","a unopened bottle of ketchup","ketchup.jpeg","pantry"
"pizza sauce","a jar of home made pizza sauce","pizza_sauce.jpg","pantry"
"tomato","ripe red tomatoes","tomato.jpg","garden"
"capsicum","Different colors' capsicum","capsicum.jpg","garden"
"coriander","fresh green coriander","coriander.jpeg","garden"
"lettuce","lettuce for salad","letus.jpeg","garden"
"onions","red onions","red_onions.jpg","garden"
"milk","bottle of fresh milk","milk.jpeg","farm"
"eggs","a basket of eggs","eggs.jpeg","farm"
"chicken","fresh chicken meat","chicken_meat.jpeg","farm"
"cheese","finely grated mozzarella cheese","cheese.jpeg","farm"
